STUDY_ID,LATITUDE,LONGITUDE,species_richness,total_abundance,mean_depth,n_samples,n_years,year_start,year_end,realm,biome,climate
164,37.8102,-122.323,13,126.0,1.0,3,2,2000,2001,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.85045,3.61936,9,50.0,,6,2,2009,2010,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.88528,3.69284,6,49.0,,3,2,2009,2010,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.91131,3.4133,15,1106.0,,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.91145,3.41317,15,420.0,,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.91705,3.66667,18,500.0,,15,3,2007,2009,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.91716,3.66677,19,567.0,,20,4,2007,2010,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.94662,4.70235,19,971.0,,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.94736,4.70283,22,2550.0,,14,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.98612,4.82752,18,379.0,,11,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,50.9862,4.82769,16,229.0,,11,1,2007,2007,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.00086,4.0781,11,344.0,,14,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.00086,4.07829,12,324.0,,14,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.00433,3.80613,14,275.0,,9,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.00456,3.80581,14,905.0,,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.00815,3.74778,17,1572.0,,20,4,2007,2010,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.00833,3.74789,14,455.0,,14,3,2007,2009,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.02389,4.49687,13,163.0,,13,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.0239,4.49713,13,207.0,,13,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.03511,4.09901,12,291.0,,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.03605,4.09803,12,247.0,,12,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.04372,4.08475,10,157.0,,14,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.04389,4.08461,11,102.0,,14,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.14929,5.01192,24,3016.0,,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.16407,5.02836,25,4047.0,,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.19181,4.33065,21,1468.0,,14,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.19298,4.33201,18,906.0,,11,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.1942,4.75264,15,215.0,,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.19429,4.75241,15,299.0,,13,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.29697,4.2854,22,1005.0,,15,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
245,51.29771,4.28358,12,604.0,,11,2,2007,2008,Marine,Temperate shelf and seas ecoregions,Temperate
246,25.202778,121.6625,268,706733.0,,170,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
246,25.285833,121.586111,254,576974.0,,169,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.043747,-119.71442,31,1716.0,,11,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.0444,-119.715133,28,850.0,,12,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.058599,-119.757718,29,971.0,,11,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.05865,-119.75763,31,965.0,,11,11,2004,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.391117,-119.544133,14,83.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.391233,-119.541833,19,175.0,,16,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.3914,-119.539533,19,128.0,,14,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.391517,-119.544,25,196.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.391717,-119.54165,22,103.0,,14,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
271,34.391817,-119.539317,18,99.0,,15,15,2000,2014,Marine,Temperate shelf and seas ecoregions,Temperate
